"Posição","Nome","Localidade","2005","2007","2009","2011","2013","2015","2017","2019","2021","Unidade","Multiplicador"
"1","Índice de Desenvolvimento da Educação Básica",,,,,,,,,,,"",""
"1.1","Ensino fundamental",,,,,,,,,,,"",""
"1.1.1","Anos iniciais",,,,,,,,,,,"",""
"1.1.1.1","Pública","Piquet Carneiro","3.0","2.9","3.7","4.7","5.8","7.1","6.9","6.6","7.9","",""
"1.1.1.1","Pública","Pires Ferreira","-","3.7","4.0","5.1","7.1","8.7","7.5","8.5","9.1","",""
"1.1.1.1","Pública","Poranga","2.5","2.9","3.3","4.0","5.1","6.1","5.8","5.9","6.2","",""
"1.1.1.1","Pública","Porteiras","3.3","3.3","3.8","4.5","6.2","6.3","6.5","6.0","5.6","",""
"1.1.1.1","Pública","Potengi","2.6","2.8","4.1","4.2","4.9","5.0","5.3","5.1","5.2","",""
"1.1.1.1","Pública","Potiretama","3.1","3.0","3.6","4.4","5.2","5.7","5.9","6.8","6.2","",""
"1.1.1.1","Pública","Quiterianópolis","3.7","3.6","3.9","4.5","5.0","6.4","6.4","6.5","5.9","",""
"1.1.1.1","Pública","Quixadá","3.4","3.9","4.2","4.4","4.5","5.3","5.1","5.5","5.3","",""
"1.1.1.1","Pública","Quixelô","3.2","3.8","3.8","5.0","4.9","5.1","5.8","6.1","5.5","",""
"1.1.1.1","Pública","Quixeramobim","3.0","3.5","4.5","5.2","5.3","6.3","7.4","8.0","7.8","",""
"1.1.1.1","Pública","Quixeré","2.6","3.2","3.9","4.5","5.2","5.9","5.9","6.5","6.3","",""
"1.1.1.1","Pública","Redenção","3.2","3.3","4.3","4.7","4.6","5.7","5.8","5.9","5.9","",""
"1.1.1.1","Pública","Reriutaba","-","3.5","4.1","5.4","5.7","7.5","7.5","6.8","8.2","",""
"1.1.1.1","Pública","Russas","3.3","3.4","4.3","4.9","5.4","6.2","6.7","6.9","6.1","",""
"1.1.1.1","Pública","Saboeiro","2.8","3.0","3.4","5.0","4.9","6.0","5.6","5.8","5.4","",""
"1.1.1.1","Pública","Salitre","1.8","2.7","3.3","4.1","4.8","5.3","6.7","7.7","5.5","",""
"1.1.1.1","Pública","Santana do Acaraú","2.5","2.9","3.4","4.0","4.2","5.2","5.7","6.3","6.4","",""
"1.1.1.1","Pública","Santana do Cariri","3.2","3.6","4.3","4.1","4.6","5.6","5.4","5.2","4.8","",""
"1.1.1.1","Pública","Santa Quitéria","3.3","3.7","4.3","4.4","4.8","5.7","5.7","6.3","6.3","",""
"1.1.1.1","Pública","São Benedito","3.0","3.7","4.1","4.5","4.2","5.2","5.1","5.4","7.3","",""
"1.1.1.1","Pública","São Gonçalo do Amarante","3.8","4.5","4.7","5.1","4.9","6.1","6.5","6.7","6.1","",""
"1.1.1.1","Pública","São João do Jaguaribe","2.4","3.3","4.9","5.9","5.5","6.0","6.5","5.7","6.2","",""
"1.1.1.1","Pública","São Luís do Curu","2.7","2.8","4.0","3.7","4.1","4.8","4.8","4.9","5.1","",""
"1.1.1.1","Pública","Senador Pompeu","3.0","2.8","5.0","4.5","4.4","5.3","5.6","6.4","8.1","",""
"1.1.1.1","Pública","Senador Sá","3.1","3.7","-","5.5","5.7","6.5","6.9","7.1","6.5","",""
"1.1.1.1","Pública","Sobral","4.0","4.9","6.6","7.3","7.8","8.8","9.1","8.4","8.0","",""
"1.1.1.1","Pública","Solonópole","3.5","3.4","3.8","5.1","5.0","6.2","6.3","6.1","7.2","",""
"1.1.1.1","Pública","Tabuleiro do Norte","3.4","3.3","3.9","4.4","5.0","5.5","6.1","6.4","6.1","",""
"1.1.1.1","Pública","Tamboril","2.2","3.1","3.6","4.6","5.2","5.9","6.0","6.9","6.6","",""
"1.1.1.1","Pública","Tarrafas","-","3.3","4.7","4.7","5.1","5.6","5.9","6.3","5.4","",""
"1.1.1.1","Pública","Tauá","3.5","3.9","4.2","5.2","6.1","6.5","6.4","6.1","5.8","",""
"1.1.1.1","Pública","Tejuçuoca","-","3.7","3.7","3.9","4.1","5.3","5.2","5.5","5.7","",""
"1.1.1.1","Pública","Tianguá","3.1","3.7","4.5","5.2","5.0","6.0","6.1","6.4","5.6","",""
"1.1.1.1","Pública","Trairi","3.1","3.0","3.8","4.7","5.0","5.5","5.7","6.2","5.7","",""
"1.1.1.1","Pública","Tururu","3.3","3.2","4.0","4.9","5.2","6.4","6.2","6.0","5.4","",""
"1.1.1.1","Pública","Ubajara","3.6","3.3","4.5","5.3","5.6","6.3","6.6","6.8","6.1","",""
"1.1.1.1","Pública","Umari","2.3","2.6","3.4","4.6","3.8","4.6","4.3","6.3","5.0","",""
"1.1.1.1","Pública","Umirim","3.1","3.2","3.6","4.3","5.1","5.3","5.8","5.3","5.2","",""
"1.1.1.1","Pública","Uruburetama","3.3","3.6","4.1","4.3","5.1","5.6","5.6","5.8","5.4","",""
"1.1.1.1","Pública","Uruoca","3.1","3.8","4.4","5.0","4.7","7.2","7.2","8.3","8.4","",""
"1.1.1.1","Pública","Varjota","3.1","3.5","4.1","4.7","5.7","7.2","7.1","6.8","6.2","",""
"1.1.1.1","Pública","Várzea Alegre","3.2","3.9","4.4","4.5","4.3","5.2","5.6","6.1","6.1","",""
"1.1.1.1","Pública","Viçosa do Ceará","3.1","3.2","4.1","4.7","5.4","5.9","6.2","6.1","6.1","",""
"1.1.1.1.1","Municipal","Abaiara","3.5","3.5","6.5","5.8","7.1","5.5","5.8","6.1","5.6","",""
"1.1.1.1.1","Municipal","Acarape","2.6","3.0","3.1","4.1","3.9","5.4","5.4","5.4","5.5","",""
"1.1.1.1.1","Municipal","Acaraú","3.3","3.7","4.0","4.8","4.5","5.3","6.3","6.5","5.7","",""
"1.1.1.1.1","Municipal","Acopiara","2.8","3.5","4.4","4.8","5.0","6.0","6.0","6.0","5.5","",""
"1.1.1.1.1","Municipal","Aiuaba","4.4","3.9","4.6","5.4","6.0","5.8","6.1","6.8","5.6","",""
"1.1.1.1.1","Municipal","Alcântaras","2.7","3.4","4.0","4.9","6.9","7.0","7.3","7.3","7.1","",""
"1.1.1.1.1","Municipal","Altaneira","3.1","5.2","3.7","4.8","5.9","7.1","7.1","6.5","6.7","",""
"1.1.1.1.1","Municipal","Alto Santo","-","4.1","4.7","4.8","4.9","6.1","5.4","6.0","6.8","",""
"1.1.1.1.1","Municipal","Amontada","3.2","3.4","4.3","4.6","4.8","5.7","5.7","5.8","5.5","",""
"1.1.1.1.1","Municipal","Antonina do Norte","2.8","3.4","3.9","4.5","5.1","6.5","5.7","7.3","6.5","",""
"1.1.1.1.1","Municipal","Apuiarés","3.3","3.6","3.7","4.8","4.4","5.3","5.3","5.7","5.7","",""
"1.1.1.1.1","Municipal","Aquiraz","2.5","2.9","4.0","4.9","5.4","4.9","5.6","6.0","5.7","",""
"1.1.1.1.1","Municipal","Aracati","3.3","3.8","4.1","4.8","4.8","5.7","6.1","6.1","6.2","",""
"1.1.1.1.1","Municipal","Aracoiaba","2.7","3.3","3.6","3.9","4.3","5.1","5.6","5.2","5.4","",""
"1.1.1.1.1","Municipal","Ararendá","3.0","3.4","3.6","4.7","5.1","7.2","8.3","8.3","9.5","",""
"1.1.1.1.1","Municipal","Araripe","2.6","3.6","4.4","4.5","5.0","5.9","6.0","5.9","5.7","",""
"1.1.1.1.1","Municipal","Aratuba","3.2","4.1","3.9","5.1","5.4","6.1","5.9","5.7","5.9","",""
"1.1.1.1.1","Municipal","Arneiroz","3.8","3.8","3.4","4.5","4.3","5.8","5.4","5.7","5.2","",""
"1.1.1.1.1","Municipal","Assaré","3.2","3.5","3.7","4.5","4.9","5.8","6.0","6.3","5.7","",""
"1.1.1.1.1","Municipal","Aurora","3.5","3.1","3.4","3.5","4.4","4.9","5.2","5.0","5.4","",""
"1.1.1.1.1","Municipal","Baixio","2.8","3.0","3.5","4.0","5.1","4.7","5.5","4.8","5.1","",""
"1.1.1.1.1","Municipal","Banabuiú","2.5","3.2","4.2","4.8","5.0","5.5","5.7","5.7","4.9","",""
