"Posição","Nome","Localidade","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Unidade","Multiplicador"
"1.1","Série revisada","Fortaleza",,,,,,,,,,,,"37001831","41394561","45775429","49758763","56116643.79","57211199.80","60088000.55","61592346.90","66381302.30","67401429.903","64821581.71","73436128.432","R$",1000
"1.1","Série revisada","Fortim",,,,,,,,,,,,"74667","92245","100038","117447","130697.68","141534.77","140984.72","157617.19","162009.03","205357.806","233205.637","312460.299","R$",1000
"1.1","Série revisada","Frecheirinha",,,,,,,,,,,,"64828","75604","76708","104417","157911.13","190628.21","219200.10","250154.94","256853.90","268382.97","235396.694","275921.164","R$",1000
"1.1","Série revisada","General Sampaio",,,,,,,,,,,,"28344","33334","33495","37793","43739.86","45660.15","44117.52","53075.45","58852.96","69602.604","77786.587","86962.802","R$",1000
"1.1","Série revisada","Graça",,,,,,,,,,,,"54293","57914","59906","64751","76852.05","81956.39","86414.15","96012.52","104754.17","105940.879","117404.303","129710.814","R$",1000
"1.1","Série revisada","Granja",,,,,,,,,,,,"185041","201240","200508","242140","284385.37","324554.29","374710.32","367695.39","375808.27","394752.595","441905.989","469407.088","R$",1000
"1.1","Série revisada","Granjeiro",,,,,,,,,,,,"18993","21540","24435","24620","31341.23","30297.05","31749.50","38618.19","43186.48","45072.961","47138.654","51336.706","R$",1000
"1.1","Série revisada","Groaíras",,,,,,,,,,,,"38000","42029","44675","52723","64077.01","67259.82","70042.48","77899.77","80714.61","87569.178","96133.705","110754.98","R$",1000
"1.1","Série revisada","Guaiúba",,,,,,,,,,,,"104479","113232","113369","135903","153782.02","161179.98","168289.44","209217.28","204237.62","203659.604","217581.376","231993.411","R$",1000
"1.1","Série revisada","Guaraciaba do Norte",,,,,,,,,,,,"208952","237684","233660","279721","319552.17","325966.24","359802.50","450310.06","479710.57","558824.404","639797.995","669208.927","R$",1000
"1.1","Série revisada","Guaramiranga",,,,,,,,,,,,"37854","43906","40677","44774","58574.40","50563.42","55089.33","61762.90","60451.60","75218.044","71339.686","80395.842","R$",1000
"1.1","Série revisada","Hidrolândia",,,,,,,,,,,,"80600","98399","96253","101944","114904.34","124094.91","135880.05","143185.07","147647.50","153195.545","169389.822","185024.638","R$",1000
"1.1","Série revisada","Horizonte",,,,,,,,,,,,"1146485","1206916","1141813","1195454","1405695.74","1287175.67","1456368.96","1597151.43","1700086.36","1702283.709","1741190.426","2117193.301","R$",1000
"1.1","Série revisada","Ibaretama",,,,,,,,,,,,"43905","63355","52687","57737","71206.87","75499.43","82170.28","95306.06","95629.75","108663.544","124441.759","132265.433","R$",1000
"1.1","Série revisada","Ibiapina",,,,,,,,,,,,"118604","133186","131469","172037","163510.44","162277.72","191686.32","233071.92","284154.62","312411.261","337651.715","348539.661","R$",1000
"1.1","Série revisada","Ibicuitinga",,,,,,,,,,,,"42790","54340","51857","60583","76099.52","83077.02","81251.45","92929.42","89084.62","101005.549","113109.339","124950.55","R$",1000
"1.1","Série revisada","Icapuí",,,,,,,,,,,,"152508","168308","193159","220357","248389.16","228665.12","245692.57","278155.02","340165.65","357988.811","367967.873","411021.425","R$",1000
"1.1","Série revisada","Icó",,,,,,,,,,,,"302016","339135","373109","416179","493235.70","562942.03","538446.62","559455.75","564194.00","613304.088","680877.103","737488.907","R$",1000
"1.1","Série revisada","Iguatu",,,,,,,,,,,,"884474","970552","1087847","1180314","1448551.03","1360229.29","1422457.53","1502168.58","1617877.39","1707581.19","1747215.152","1904814.79","R$",1000
"1.1","Série revisada","Independência",,,,,,,,,,,,"127140","160383","141414","159655","188707.70","195207.01","209824.33","230527.90","241493.70","248133.096","298145.77","306809.033","R$",1000
"1.1","Série revisada","Ipaporanga",,,,,,,,,,,,"36633","51720","44816","50505","69382.31","63779.99","73840.83","78958.81","77929.56","87936.098","96698.651","114127.411","R$",1000
"1.1","Série revisada","Ipaumirim",,,,,,,,,,,,"50313","62347","58802","67346","79034.86","82031.14","91933.51","102850.54","114142.41","124285.424","134464.441","143450.636","R$",1000
"1.1","Série revisada","Ipu",,,,,,,,,,,,"190443","223815","220979","261073","287922.98","315015.47","335395.49","378322.73","399447.71","446058.237","471464.845","519844.688","R$",1000
"1.1","Série revisada","Ipueiras",,,,,,,,,,,,"145214","164891","166193","187840","201861.67","210200.92","219441.51","248518.16","254861.92","279669.184","313673.423","328115.053","R$",1000
