"Posição","Nome","Localidade","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Unidade","Multiplicador"
"1","Taxa de mortalidade infantil","Iracema","18.1","27.17","5.81","27.47","17.14","5.78","-","12.82","5.41","5.29","10.99","32.26","6.67","5.65","11.76","-","7.41","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Irauçuba","12.5","16.17","10.84","21.8","22.44","15.87","15.67","16.03","11.27","13.47","6.58","10.42","16.81","11.11","16.44","10.05","6.06","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Itaiçaba","-","40","13.33","11.63","9.09","-","-","80","-","10.42","20.62","11.49","10.99","21.74","10.99","12.35","14.71","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Itaitinga","39.89","26.8","27.61","38.79","24.13","13.36","11.76","4.08","10.99","7.02","11.22","6.55","12.93","7.43","4.27","6.63","10.2","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Itapajé","12.3","19.63","12.66","17.96","19.83","15.58","9.01","11.38","6.45","13.16","15.67","18.01","6.97","5.13","4.55","12.7","17.92","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Itapipoca","15.41","16.49","16.64","9.79","11.31","9.64","13.78","11.57","10.58","13.41","10.06","12.88","12.92","9.52","14.95","5.67","8.8","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Itapiúna","32.47","20.06","13.16","14.87","18.8","7.14","7.97","21.74","30.3","14.29","17.78","26.55","18.02","22.52","4.93","-","21.98","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Itarema","18.13","16.3","21.43","12.21","5.52","5.84","10.43","12.84","11.29","8.94","7.97","22.1","8.33","14.06","12.61","12.71","11.08","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Itatira","26.01","10.08","15.67","18.52","14.97","31.14","12.9","7.72","23.03","6.12","18.05","23.03","27.78","15.24","9.4","7.38","16.19","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Jaguaretama","7.91","11.28","16.74","4.17","8.81","21.65","12.61","15.96","17.24","20.51","17.75","10.75","4.24","18.6","4.44","8.85","-","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Jaguaribara","13.79","6.1","33.9","24.1","12.27","13.61","7.63","14.08","-","12.58","27.59","14.6","12.35","13.99","29.2","25.86","8.2","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Jaguaribe","20.33","16.85","17.39","30.17","14.43","8.32","11.14","22.03","7.78","8.33","17.86","14.37","10.4","15.25","22.17","4.82","13.62","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Jaguaruana","23.91","32.52","16.28","16.17","7.37","7.96","18.22","4.77","5.14","7.18","9.09","12.32","4.83","10.81","8.5","8.13","9.87","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Jardim","34.01","18.45","16.19","7.78","20.41","22","16.24","13.25","25.11","16.23","15.56","9.09","12.25","4.82","9.01","15.31","19.89","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Jati","28.3","9.35","29.7","30.61","64.22","22.56","-","-","25.42","23.08","14.08","15.27","-","15.15","-","22.73","-","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Jijoca de Jericoacoara","16.84","21.34","15.24","4","-","27.03","-","17.24","6.9","21.58","22.88","2.82","11.57","14.39","12.76","21.22","5.09","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Juazeiro do Norte","17.12","18.49","12.96","12.47","13.57","20.15","14.37","21.77","12.02","13.89","15.75","11.64","14.91","12.51","13.56","10.48","12.11","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Jucás","28.5","7.46","7.32","18.67","5.33","21.62","17.8","18.63","2.75","23.39","-","23.46","16.48","19.74","7.04","12.38","6.73","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Lavras da Mangabeira","2.59","11.42","7.85","21.05","9.69","11.27","6.27","12.08","17.7","7.75","10.78","17.91","5.87","17.14","14.97","8.88","6.97","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Limoeiro do Norte","16.75","25.35","11.89","8.82","9.04","18.27","11.75","14.01","14.55","10.63","2.6","11.35","12.76","16.44","8.21","7.09","28.65","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Madalena","29.41","15.38","12.93","-","12.88","20.24","8.06","19.51","20.51","4.81","20.62","12.61","12.99","5.05","17.14","5.62","16.85","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Maracanaú","14.7","8.89","12.65","9.86","8.78","8.24","7.05","10.21","9.17","10.7","9.32","11.54","9.25","8.36","9.43","8.44","8.2","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Maranguape","17.37","5.86","13.14","18.44","8.29","11.17","12.35","10.72","14.07","11.2","14.07","17.03","11.73","11.87","12.08","5.74","7.57","óbitos por mil nascidos vivos",1
